Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 53,15,151,38,172,26.5,161.5,0,tracked object
Object 40,20,58,43,79,31.5,68.5,0,tracked object
Object 49,29,10,55,25,42.0,17.5,0,tracked object
Object 13,75,86,100,110,87.5,98.0,0,tracked object
Object 48,107,20,131,41,119.0,30.5,0,tracked object
Object 36,112,110,162,140,137.0,125.0,0,tracked object
Object 43,153,64,173,85,163.0,74.5,0,tracked object
Object 50,179,17,193,34,186.0,25.5,0,tracked object
Object 52,194,140,212,161,203.0,150.5,0,tracked object
Object 51,214,68,232,90,223.0,79.0,0,tracked object
