Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 10,48,8,74,21,61.0,14.5,0,tracked object
Object 11,49,53,72,74,60.5,63.5,0,tracked object
Object 21,55,140,78,158,66.5,149.0,0,tracked object
Object 13,107,70,131,94,119.0,82.0,0,tracked object
Object 3,125,5,147,24,136.0,14.5,0,tracked object
Object 14,145,83,191,117,168.0,100.0,0,tracked object
Object 1,175,40,195,60,185.0,50.0,0,tracked object
Object 17,193,0,206,9,199.5,4.5,0,tracked object
Object 19,225,107,240,130,232.5,118.5,0,tracked object
Object 20,233,37,240,50,236.5,43.5,0,tracked object
