Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 176,26,123,42,141,34.0,132.0,0,tracked object
Object 172,45,57,63,79,54.0,68.0,0,tracked object
Object 170,63,17,83,36,73.0,26.5,0,tracked object
Object 173,78,97,97,117,87.5,107.0,0,tracked object
Object 36,101,133,142,146,121.5,139.5,0,tracked object
Object 135,123,49,143,70,133.0,59.5,0,tracked object
Object 99,148,99,166,118,157.0,108.5,0,tracked object
Object 177,160,171,178,180,169.0,175.5,0,tracked object
Object 156,192,61,207,80,199.5,70.5,0,tracked object
Object 175,206,118,222,140,214.0,129.0,0,tracked object
