Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 124,2,65,23,85,12.5,75.0,0,tracked object
Object 125,5,150,26,167,15.5,158.5,0,tracked object
Object 123,5,18,30,33,17.5,25.5,0,tracked object
Object 13,53,86,75,109,64.0,97.5,0,tracked object
Object 118,77,24,98,43,87.5,33.5,0,tracked object
Object 36,87,102,129,132,108.0,117.0,0,tracked object
Object 99,119,62,137,80,128.0,71.0,0,tracked object
Object 117,143,16,156,32,149.5,24.0,0,tracked object
Object 122,160,125,176,144,168.0,134.5,0,tracked object
Object 107,175,61,192,80,183.5,70.5,0,tracked object
Object 120,224,57,240,156,232.0,106.5,0,tracked object
