Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 148,44,137,62,154,53.0,145.5,0,tracked object
Object 124,53,68,72,86,62.5,77.0,0,tracked object
Object 141,62,29,84,44,73.0,36.5,0,tracked object
Object 13,94,96,113,113,103.5,104.5,0,tracked object
Object 36,120,118,156,137,138.0,127.5,0,tracked object
Object 135,124,46,142,64,133.0,55.0,0,tracked object
Object 99,154,84,169,101,161.5,92.5,0,tracked object
Object 147,178,143,194,160,186.0,151.5,0,tracked object
Object 146,181,46,192,61,186.5,53.5,0,tracked object
Object 149,203,90,217,107,210.0,98.5,0,tracked object
Object 150,234,168,240,180,237.0,174.0,0,new object
