Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 36,118,119,168,151,143.0,135.0,0,tracked object
Object 99,155,71,179,93,167.0,82.0,0,tracked object
Object 13,80,103,104,126,92.0,114.5,0,tracked object
Object 117,182,7,200,29,191.0,18.0,0,tracked object
Object 118,98,27,126,51,112.0,39.0,0,tracked object
Object 124,24,81,46,102,35.0,91.5,0,tracked object
Object 126,21,31,46,46,33.5,38.5,0,tracked object
Object 128,229,64,240,83,234.5,73.5,0,tracked object
Object 130,205,144,226,165,215.5,154.5,0,tracked object
Object 125,37,160,60,180,48.5,170.0,0,tracked object
