Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 332,14,109,30,124,22.0,116.5,0,tracked object
Object 282,22,46,38,62,30.0,54.0,0,tracked object
Object 328,30,12,48,24,39.0,18.0,0,tracked object
Object 281,57,69,73,84,65.0,76.5,0,tracked object
Object 303,80,88,114,106,97.0,97.0,0,tracked object
Object 326,83,24,101,39,92.0,31.5,0,tracked object
Object 329,111,57,126,72,118.5,64.5,0,tracked object
Object 330,137,22,149,35,143.0,28.5,0,tracked object
Object 331,138,113,153,128,145.5,120.5,0,tracked object
Object 333,161,62,175,79,168.0,70.5,0,tracked object
Object 334,199,49,240,158,219.5,103.5,0,tracked object
