Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 63,4,152,23,170,13.5,161.0,0,tracked object
Object 40,7,74,25,93,16.0,83.5,0,tracked object
Object 54,13,34,34,46,23.5,40.0,0,tracked object
Object 13,51,97,72,117,61.5,107.0,0,tracked object
Object 48,76,37,97,54,86.5,45.5,0,tracked object
Object 36,82,114,127,142,104.5,128.0,0,tracked object
Object 43,117,73,136,91,126.5,82.0,0,tracked object
Object 60,142,27,156,43,149.0,35.0,0,tracked object
Object 64,163,141,182,162,172.5,151.5,0,tracked object
Object 65,179,72,200,91,189.5,81.5,0,tracked object
