Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 176,23,123,38,140,30.5,131.5,0,tracked object
Object 172,41,63,58,83,49.5,73.0,0,tracked object
Object 170,59,27,76,45,67.5,36.0,0,tracked object
Object 173,71,100,88,118,79.5,109.0,0,tracked object
Object 36,91,133,127,145,109.0,139.0,0,tracked object
Object 135,111,58,129,76,120.0,67.0,0,tracked object
Object 99,133,103,149,120,141.0,111.5,0,tracked object
Object 177,144,168,161,180,152.5,174.0,0,tracked object
Object 156,173,69,187,86,180.0,77.5,0,tracked object
Object 175,186,120,201,141,193.5,130.5,0,tracked object
Object 178,235,174,240,180,237.5,177.0,0,tracked object
