Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 292,12,154,35,176,23.5,165.0,0,tracked object
Object 282,21,60,45,84,33.0,72.0,0,tracked object
Object 288,35,10,61,27,48.0,18.5,0,tracked object
Object 281,75,95,102,120,88.5,107.5,0,tracked object
Object 293,113,125,166,154,139.5,139.5,0,tracked object
Object 295,115,26,141,49,128.0,37.5,0,tracked object
Object 294,161,77,182,100,171.5,88.5,0,tracked object
Object 296,194,27,209,46,201.5,36.5,0,tracked object
Object 297,197,159,217,180,207.0,169.5,0,tracked object
Object 298,226,84,240,109,233.0,96.5,0,tracked object
