Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 91,0,114,21,138,10.5,126.0,0,tracked object
Object 40,30,29,54,56,42.0,42.5,0,tracked object
Object 13,70,81,95,106,82.5,93.5,0,tracked object
Object 76,71,0,85,5,78.0,2.5,0,tracked object
Object 36,98,127,149,143,123.5,135.0,0,tracked object
Object 48,131,26,156,50,143.5,38.0,0,tracked object
Object 43,158,86,179,110,168.5,98.0,0,tracked object
Object 92,167,172,187,180,177.0,176.0,0,tracked object
Object 93,207,47,222,69,214.5,58.0,0,tracked object
Object 94,218,110,233,136,225.5,123.0,0,tracked object
