Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 124,26,81,48,101,37.0,91.0,0,tracked object
Object 134,26,32,52,47,39.0,39.5,0,tracked object
Object 131,34,164,55,180,44.5,172.0,0,tracked object
Object 13,82,103,105,125,93.5,114.0,0,tracked object
Object 135,103,33,128,54,115.5,43.5,0,tracked object
Object 36,118,118,163,149,140.5,133.5,0,tracked object
Object 99,152,74,172,94,162.0,84.0,0,tracked object
Object 136,176,20,190,39,183.0,29.5,0,tracked object
Object 132,196,140,214,160,205.0,150.0,0,tracked object
Object 133,214,70,233,91,223.5,80.5,0,tracked object
