Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 141,34,56,57,70,45.5,63.0,0,tracked object
Object 124,34,99,53,117,43.5,108.0,0,tracked object
Object 158,38,171,57,180,47.5,175.5,0,tracked object
Object 13,81,120,101,139,91.0,129.5,0,tracked object
Object 135,101,60,122,79,111.5,69.5,0,tracked object
Object 36,112,133,152,160,132.0,146.5,0,tracked object
Object 99,142,96,160,113,151.0,104.5,0,tracked object
Object 156,165,47,178,64,171.5,55.5,0,tracked object
Object 152,182,154,199,172,190.5,163.0,0,tracked object
Object 157,199,91,217,110,208.0,100.5,0,tracked object
